name_category,img_category,url_category,title
Soda,54d1c871b4ef4e8b31293babf9129359.jpg,https://en.sas.am/categories/Soda__1108/,False
Vinegar,ba3d2b75c5b9131964a6ac5ce4746a7c.jpg,https://en.sas.am/categories/Vinegar__1103/,True
Spices,458945623a559f9bc7c8c1517eedf8a7.jpg,https://en.sas.am/categories/Spices__3041/,True
Sweets,ca065fd606fae5fb3c06875cf04c4e04.png,https://en.sas.am/categories/Sweets_3103/,True
Nuts,d062a604fba606c9e0dcece05380cbe4.jpg,https://en.sas.am/categories/Nuts_2819/,True
Walnut,e2552fe557ad50a1cdb0c97a86ed16c7.jpg,https://en.sas.am/categories/Walnut__2831/,False
Hazelnut,5e7291a44ab1a7871dc827039065bfba.jpg,https://en.sas.am/categories/Hazelnut__2832/,False
Cashew,67bdeea8e666f4bf2da47331d63c5e79.jpg,https://en.sas.am/categories/Cashew__2833/,False
Almond,009687a1a3290859ed64f1f3509dac78.jpg,https://en.sas.am/categories/Almond__2834/,False
Pistachio,19b49ef89dbb7a79b4d484d343caf036.jpg,https://en.sas.am/categories/Pistachio_5577/,False
Assortment,5f3c832dfaa237aface0f8dee85c3e58.jpg,https://en.sas.am/categories/Assortment__2835/,False
Peanut,0bb52591a7692e41b8ab97a49487604a.jpg,https://en.sas.am/categories/Peanut__3033/,False
Other,0f575fd1cb15d0642bb26dd1bf7351b0.jpg,https://en.sas.am/categories/Other_2836/,False
Honey,8bece1e1664cf24bce5d9cb4c79ad938.jpg,https://en.sas.am/categories/Honey_3063/,True
Armenian,03e14fd35de6b1f67b41f2cba2bd1d08.jpg,https://en.sas.am/categories/Armenian__2843/,False
Dried fruits,ef2cc33d8599e50563ae4765c8fcb248.jpg,https://en.sas.am/categories/Dried_fruits_2820/,True
Raisins,e3a311e902e071e0cc63033f64a0c0b5.jpg,https://en.sas.am/categories/Raisins__2837/,False
Prunes,d6ff3f77e5a79850b8999626eb0907c9.jpg,https://en.sas.am/categories/Prunes__2838/,False
Apricot,c7b300eca5b0a87886d9ff9c63c18b16.jpg,https://en.sas.am/categories/Apricot__2839/,False
Tropical fruits,a54e27dd0cb71a9d3545ad54b6d4cb2b.jpg,https://en.sas.am/categories/Tropical_fruits__2840/,False
Assorted,ad08b6c4a51e3fd5ada92adf8483c0ad.jpg,https://en.sas.am/categories/Assorted__2841/,False
Sweet sudjuk,75da4b2e8d077e85caf17a24158ca26e.jpg,https://en.sas.am/categories/Sweet_sudjuk__2821/,False
Sour lavash,c953369e1c9eb5399eea8d1262f342aa.jpg,https://en.sas.am/categories/Sour_lavash__2822/,False
Other,ac905ae2b2db74124050e7a18237f012.jpg,https://en.sas.am/categories/Other__3032/,False
Pastry,2086e5812f4c42a10b093555323d0bbe.jpg,https://en.sas.am/categories/Pastry__1049/,True
Fruit jelly,d7dcf3dcedd864611457eef620fd184a.jpg,https://en.sas.am/categories/Fruit_jelly_1192/,False
